document_id,section,position
lg_002,Section 2,5974
lg_013,Article 140,66126
lg_013,Article 141,66752
lg_019,Section 4,6643
lg_019,Section 12,10089
lg_019,Section 27,18554
lg_023,Section 17,145911
lg_023,Article 140,66272
lg_023,Article 141,66869
lg_025,Section 2,4521
lg_025,Article 64,2571
lg_025,Article 5,10160
lg_025,Article 3,11411
lg_025,Article 24,15451
lg_025,Article 11,16646
lg_025,Article 19,17831
lg_025,Article 21,17959
lg_025,Article 6,18053
lg_025,Article 20,18534
lg_025,Article 17,20690
lg_025,Article 2,25221
lg_025,Article 14,28526
lg_025,Article 16,31292
lg_025,Article 4,43972
lg_025,Article 45,64905
lg_025,"Article
30",79630
lg_025,Article 63,80171
lg_027,Section 3,2190
lg_027,Article 44,823
lg_028,Section 25,38588
lg_029,Section 2,4530
lg_030,Section 71,4351
lg_030,Article 154,4579
lg_032,Section 64,63089
lg_032,Section 2,68620
lg_032,Section 10,69877
lg_032,Section 12,69979
lg_032,Section 13,70027
lg_032,Section 23,70127
lg_032,Section 32,70244
lg_032,Section 35,70414
lg_032,Section 36,70767
lg_032,Section 42,70935
lg_032,Section 43,72262
lg_032,Section 46,73436
lg_032,Section 58,73531
lg_032,Section 74,73881
lg_036,Section 71,41297
lg_036,Section 73,41912
lg_036,Section 75,41960
lg_036,Section 72,53839
lg_036,Section 28,63777
lg_039,Section 96,77126
lg_040,Section 30,79420
lg_040,Section 33,83794
lg_040,Section 10,91313
lg_040,Section 16,95970
lg_040,Section 20,98264
lg_040,Section 24,100800
lg_040,Section 27,103209
lg_040,Section 31,108380
lg_040,Section 32,109715
lg_040,Section 36,111800
lg_040,Section 41,113658
lg_040,Section 42,116872
lg_040,Section 43,117423
lg_040,Section 46,118909
lg_040,Section 47,121470
lg_040,Section 48,122465
lg_040,Section 49,123694
lg_040,Article 138,35385
lg_041,Section 5,7631
lg_042,Section 4,22991
lg_042,Section 3,25382
lg_043,Section 2,5585
lg_043,Section 3,9880
lg_044,Section 5,14401
lg_044,Section 8,15706
lg_044,Article 1,2921
lg_045,Section 306,11139
lg_045,Section 9,11394
lg_045,Section 13,15476
lg_045,Section 31,39196
lg_045,Section 76,55560
lg_045,Section 83,60613
lg_048,Section 130,2551
lg_052,Section 3,21171
lg_054,Section 8,72179
lg_055,Section 33,2573
lg_055,Section 20,28438
lg_055,Section 24,30140
lg_056,Section 6,12714
lg_057,Article 154,4394
lg_071,Section 18,26457
lg_071,Section 67,83481
lg_081,Section 88,92727
lg_081,Section 296,92833
lg_081,Section 297,92846
