document_id,statute,source
lg_001,Abolition of Fideicommissa Act,metadata
lg_002,Administrative Districts Act,metadata
lg_003,Adoption of Children Act,metadata
lg_004,Affidavits Act,metadata
lg_005,Age of Majority Act,metadata
lg_006,Agrarian Services Act,metadata
lg_007,Agricultural Corps Act,metadata
lg_008,Agricultural Insurance Act,metadata
lg_009,Agricultural Produce (Grading and Marketing) Act,metadata
lg_010,Agricultural Produce Agents (Registration) Act,metadata
lg_011,Agricultural Products (Guaranteed Prices and Control of Hulling and Milling) Act,metadata
lg_012,Agricultural Products (Regulation) Act,metadata
lg_013,Air Force Act,metadata
lg_014,Airports Authority Act,metadata
lg_015,All Ceylon Buddhist Students' Federation Act,metadata
lg_016,All Ceyon Budhhist Congress Act,metadata
lg_017,All-Ceylon Young Men's Muslim Association Act,metadata
lg_018,American Mission Act,metadata
lg_019,Animals Act,metadata
lg_020,Antiquities Act,metadata
lg_021,Anuradhapura Buddhist Association Act,metadata
lg_022,Arbitration Act,metadata
lg_023,Army Act,metadata
lg_024,Arts Council of Ceylon Act,metadata
lg_025,Asian Development Bank Agreement (Ratification) Act,metadata
lg_026,Assemblies of God of Ceylon Act,metadata
lg_027,Assignment of Ministers' Functions Act,metadata
lg_028,Atomic Energy Authority Act,metadata
lg_029,Auctioneers and Brokers Act,metadata
lg_030,Auditor-General's Fees Act,metadata
lg_031,Automobile Association of Ceylon Act,metadata
lg_032,Ayurveda Act,metadata
lg_033,Baadhi Beeya Association Act,metadata
lg_034,Back to the Bible Broadcast Act,metadata
lg_035,Badulla Saiva Paripalana Sangam Act,metadata
lg_036,Bank of Ceylon Act,metadata
lg_037,Baticaloa Waterworks Act,metadata
lg_038,Betting on Horse-Racing Act,metadata
lg_039,Bills of Exchange Act,metadata
lg_040,Births and Death Act,metadata
lg_041,Boatmen Act,metadata
lg_042,Boats Act,metadata
lg_043,Botanic Gardens Act,metadata
lg_044,Bretton Woods Agreement Act,metadata
lg_045,Bribary Act,metadata
lg_046,British Maintenance Orders Act,metadata
lg_047,Brothels Act,metadata
lg_048,Buddha Sravaka Dharmapithaya Act,metadata
lg_049,Buddhist Publication Society Act,metadata
lg_050,Budgetary Relief Allowance of Workers (No 1) Act,metadata
lg_051,Budgetary Relief Allowance of Workers (No 2) Act,metadata
lg_052,Business Names Act,metadata
lg_053,Business Undretakings (Acquisition) Act,metadata
lg_054,Ceiling on Housing Property Act,metadata
lg_055,Cemeteries and Burial Grounds Act,metadata
lg_056,Central Cultural Fund Act,metadata
lg_057,Central Environmental Authority Act,metadata
lg_058,Central Freight Bureau Act,metadata
lg_059,Ceylon Association for the Mentally Retarded Act,metadata
lg_060,Ceylon Baithul Mal Fund Act,metadata
lg_061,Ceylon Baptist Council Act,metadata
lg_062,Ceylon Bible Society Act,metadata
lg_063,Ceylon College of Physicians Act,metadata
lg_064,Ceylon Electricity Board Act,metadata
lg_065,Ceylon Moor Ladies' Union Act,metadata
lg_066,Ceylon Muslim Scholarship Fund Act,metadata
lg_067,Ceylon National Association for the Prevention of Tuberculosis Act,metadata
lg_068,Ceylon National Chamber of Industries Act,metadata
lg_069,Ceylon National Library Services Board Act,metadata
lg_070,Ceylon Pentecostal Mission Act,metadata
lg_071,Ceylon Petrolium Corporation Act,metadata
lg_072,Ceylon Scout Council Act,metadata
lg_073,Ceylon Shipping Corporation Act,metadata
lg_074,Ceylon Tourist Board Act,metadata
lg_075,Ceylonese Brothers of St. Joseph Act,metadata
lg_076,Ceylonese Evangelistic Association Act,metadata
lg_077,Chamber of Commerce Act,metadata
lg_078,Chank Fisheries Act,metadata
lg_079,Chauffeurs Act,metadata
lg_080,Cheetus Act,metadata
lg_081,Chidren and Young Persons Act,metadata
lg_082,Chilaw Buddhist Association Act,metadata
lg_083,Children and Young Persons (Harmful Publications) Act,metadata
lg_084,Church of Ceylon Act,metadata
lg_085,Church of England Act,metadata
lg_086,Citizenship Act,metadata
lg_087,Civil Procedure Code,metadata
lg_088,Co-operative Employees Commission Act,metadata
lg_089,Coconut Development Act,metadata
lg_090,College of General Practitioners Act,metadata
lg_091,Colombo Bible College Act,metadata
lg_092,Colombo Gospel Tabernacle Act,metadata
lg_093,Colombo Waterworks Act,metadata
lg_094,Colombo Young Men's Buddhist Association Act,metadata
lg_095,Colombo Young Women's Christian Association Act,metadata
lg_096,Colonmbo Young Men's Christian Association Act,metadata
lg_097,Commisions of Inquiry Act,metadata
lg_098,Companies (Donations) Act,metadata
lg_099,Companies (Special Provisions) Act,metadata
lg_100,Compulsory Food Production (Tax Relief) Act,metadata
lg_101,Compulsory Public Service Act,metadata
lg_102,Comrades of the Great War Act,metadata
lg_103,Congress of Religions Act,metadata
lg_104,Consumer Protection Act,metadata
lg_105,Contagious Diseases Act,metadata
lg_106,Contingencies Fund Act,metadata
lg_107,Contributory Negligence and Joint Wrongdoers Act,metadata
lg_108,Control of Finance Companies Act,metadata
lg_109,Control of Insurance Act,metadata
lg_110,Control of Pesticides Act,metadata
lg_111,Control of Prices Act,metadata
lg_112,Corneal Grafting Act,metadata
lg_113,Corporal Punishment Act,metadata
lg_114,Council of Legal Education Act,metadata
lg_115,Courts Records (Inspection by Minister of Justice) Act,metadata
lg_116,Cruelty to Animals Act,metadata
lg_117,Dangerous Animals Act,metadata
lg_118,Declartion of Assets and Liabilities Act,metadata
lg_119,Deegahavapi Prathisanskarana Sabhawa Act,metadata
lg_120,Defence Stations Act,metadata
lg_121,Definition of Boundaries Act,metadata
lg_122,Department of Agriculture Act,metadata
lg_123,Destruction of Valueless Documents Act,metadata
lg_124,Dev Suwa Sevawa Act,metadata
lg_125,Dharmachakra Vidyapitha Sabha Act,metadata
lg_126,Dharmavijaya Foundation Act,metadata
lg_127,Disabled Ceylon Men's Fund Act,metadata
lg_128,Diseases Among Labourers Act,metadata
lg_129,Diseases of Animals Act,metadata
lg_130,Domestic Servants Act,metadata
lg_131,Dried Meat Act,metadata
lg_132,Dutch Reformed Church Act,metadata
lg_133,Education Act,metadata
lg_134,Elephant Kraals Act,metadata
lg_135,Embarkation Tax Act,metadata
lg_136,Embilipitiya Young Men's Buddhist Association Act,metadata
lg_137,Employees' Holidays Act,metadata
lg_138,Employees' Provident Fund (Special Provision) Act,metadata
lg_139,Employment of Females in Mines Act,metadata
lg_140,Employment of Private Sector Trainees Act,metadata
lg_141,Episcopal Churches Act,metadata
lg_142,Essential Public Services Act,metadata
lg_143,Estate Duty Act,metadata
lg_144,Estate Labour (Indian) Act,metadata
lg_145,Estate Quarters Act,metadata
lg_146,Estate Roads Act,metadata
lg_147,Estate Roads (Conversion) Act,metadata
lg_148,Estates Staffs' Association Act,metadata
lg_149,Evidence Act,metadata
lg_150,Exchange Control Act,metadata
lg_151,Excise Act,metadata
lg_152,Execution of Deeds Act,metadata
lg_153,Explosives Act,metadata
lg_154,Fauna and Flora Protection Act,metadata
lg_155,Fee-Charging Employment Agencies Act,metadata
lg_156,Felling of Trees (Control) Act,metadata
lg_157,Fellowship of Free Churches Act,metadata
lg_158,Fermented Liquor on Board Ships of the Republic Act,metadata
lg_159,Fertilizers Act,metadata
lg_160,Financial Reserves Act,metadata
lg_161,Firing Ranges and Military Training Act,metadata
lg_162,Fisheries Act,metadata
lg_163,Flood Protection Act,metadata
lg_164,Food Act,metadata
lg_165,Food Control Act,metadata
lg_166,Food Control (Possesion) Act,metadata
lg_167,Food Production (Estate) Act,metadata
lg_168,Food Supplies Act,metadata
lg_169,Foreign Employment Agency Act,metadata
lg_170,Freedom from Hunger Campaign Act,metadata
lg_171,Fuel Conservation-Five Day Week Act,metadata
lg_172,Galle Municipal Saffs Benevolent Association Act,metadata
lg_173,Galle Muslim Cultural Association Act,metadata
lg_174,Galle Young Men's Buddhist Association Act,metadata
lg_175,Gaming Act,metadata
lg_176,Gas Act,metadata
lg_177,Gas Meters Act,metadata
lg_178,Girl Guides Association Act,metadata
lg_179,Government Gazzette (Publication) Act,metadata
lg_180,Government Indemnity Bonds Act,metadata
lg_181,Government Officers' Benefit Association Act,metadata
lg_182,Government Surveyors' Association Act,metadata
lg_183,Government-Sponsored Corporations Act,metadata
lg_184,Gramabhiwurdhi Sadhaka Society Act,metadata
lg_185,Health Services Act,metadata
lg_186,Hendala Susitha Wadana Samithiya Act,metadata
lg_187,Hindu Board of Education Act,metadata
lg_188,Holidays Act,metadata
